id,selection_id,is_prefatory,text
1,1,TRUE,"Odysseus on his homeward journey visited the semi-mythical land of the Phaeacians. Here we learn how their city was established, as a colony led by their king, who acts like a colonial founder."
2,2,TRUE,"When Odysseus arrives at the land of the Cyclopes, he first stops at an offshore island, which he evaluates as a potential site where colonists might found a new colony."
3,3,TRUE,"Hesiod describes how and why his father moved across the Aegean from Asia Minor to central Greece."
4,4,TRUE,"In his poem the Smyrneis, a poetic account of the history of Ionia, Mimnermus describes the foundation of his home city of Colophon in Asia Minor."
5,5,TRUE,"The so-called Cup of Nestor was discovered in a grave on the island of Pithecusae, a Greek colony in Italy. The inscription scratched onto it, in epic-style language and verse, is one of the oldest known inscriptions in the Greek alphabet. It seems to be alluding to the story of a cup owned by the Homeric hero Nestor, described at Iliad 11.632-37."
6,6,TRUE,"This inscription was carved by Greek mercenaries into the leg of a colossal statue of the pharaoh Ramses II at a temple called Abu Simbel, in the far south of Egypt. The mercenaries were in the service of an Egyptian king, Psammetichus II (595-589 BCE), who was campaigning far up the Nile into Ethiopia. Other mercenaries also carved their names and hometowns, which included Teos, Colophon, and Ialysus."
7,7,TRUE,"Herodotus describes the Ionian cities of Asia Minor as a mixed population, descended from settlers from a variety of cities in mainland Greece, and also partly descended from Carians, their non-Greek neighbors."
8,8,TRUE,"Greeks from Phocaea in Asia Minor were active on trade routes around the Mediterranean, including to the non-Greek land of Tartessus in southern Spain."
9,8,FALSE,"Warships with fifty oars."
10,9,TRUE,"Herodotus describes how the Egyptian pharaoh Amasis (570-526 BCE) gave Greeks permission to found one colony in Egypt, which would consolidate Greek trading activity in Egypt at a single port."
11,9,FALSE,"I.e. to Naucratis"
12,10,TRUE,"Greek merchants traveled across the whole Mediterranean and even beyond, including to the non-Greek land of Tartessus in southern Spain, and making enormous profits but also undergoing great risks. Sostratus of Aegina may well be the same person who dedicated an anchor in a temple at the Etruscan port of Gravisca in northern Italy."
13,10,FALSE,"Off the coast of Libya"
14,10,FALSE,"The Straits of Gibraltar"
15,10,FALSE,"Seven cubits: about 12 feet"
16,11,TRUE,"Amphipolis, on the coast of the north Aegean, had been founded as a colony by Athens in 438 BCE; the oikist was an Athenian named Hagnon. During the Peloponnesian War, Amphipolis was captured by the Spartan general Brasidas in 424. When Brasidas was killed in battle nearby in 422, the people of Amphipolis declared that he, not Hagnon, was their oikist."
17,12,TRUE,"Two contrasting stories about the foundation of the colony of Taras, in southern Italy, in the aftermath of the Spartan conquest of the neighboring region of Messenia."
18,12,FALSE,"The non-Greek neighbors of Taras"