id,short_name,full_name,location_ids,birth,birth_approximate,death,death_approximate,description,
psamettichus_ii,Psammetichus II,Psammetichus II of Egypt,"naucratis",664,TRUE,610,TRUE,Pharaoh of Egypt from 664 to 610 BCE,
amasis_ii,Amasis II,Amasis II of Egypt,"naucratis",570,TRUE,526,TRUE,Pharaoh of Egypt from 570 to 526 BCE,
nausithoos,Nausithoos,Nausithoos king of the Phaeacians,"ionia",,TRUE,,,King of the Phaeacians in Greek mythology who led them to settle in Scheria,
perses,Perses,Perses,"helicon",,TRUE,,,Brother of Hesiod in the Works and Days
neleus,Neleus,Neleus,"pylos",,TRUE,,,"Son of Poseidon and Tyro in Greek mythology, and the father of Nestor"
nestor,Nestor,Nestor,"pylos",,TRUE,,,"Son of Neleus in Greek mythology, and a participant in the Trojan War"
aphrodite,Aphrodite,Aphrodite,,,TRUE,,,"Goddess of love and beauty in Greek mythology"
potasimto,Potasimto,Potasimo,"naucratis",,TRUE,,,"Egyptian general"
zeus,Zeus,Zeus,,,TRUE,,,"King of the gods in Greek mythology"
hera,Hera,Hera,,,TRUE,,,"Queen of the gods in Greek mythology"
brasidas,Brasidas,Brasidas,"thrace",,TRUE,422,TRUE,Spartan general during the Peloponnesian War
hagnon,Hagnon,Hagnon,"thrace",,TRUE,422,TRUE,Athenian general during the Peloponnesian War
phalanthus,Phalanthus,Phalanthus,"taras",,TRUE,,,Founder of the city of Taras in Greek mythology
ephorus,Ephorus,Ephorus,"athens",400,TRUE,330,TRUE,Greek historian from Athens